name,location,price,capacity,rating,reviews,description
Terminus 330,"Atlanta, Georgia","$23,000",151-200 Guests,4.9,17,"An award-winning venue located in the heart of the Centennial Park District in downtown Atlanta, offering outdoor event space."
Journeyman's Hall,"Atlanta, GA","$2,000",151-200 Guests,5,4,A wedding venue in South Downtown Atlanta offering custom wedding experiences led by Chef Vincent Marra.
Wahoo! Grill,"Decatur, GA","$3,000",201-250 Guests,5,104,A full-service venue offering outdoor event space and outstanding staff for weddings and events.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,"$7,000",251-300 Guests,4.7,133,"A venue overlooking Piedmont Park, offering both indoor and outdoor spaces with seasonal colors."
Monday Night Brewing: The Garage,Metro Atlanta,"$3,500",300+ Guests,4.9,14,"A charming private event space with high ceilings and natural light, perfect for large gatherings."
Emory Conference Center Hotel,"Atlanta, GA","$12,100",300+ Guests,4.8,41,"An elegant venue with outdoor event space, close to Hartsfield International Airport."
Factory Atlanta,"Atlanta, GA","$5,850",300+ Guests,5,6,An industrial-chic venue perfect for creative couples looking for a unique wedding space.
The Kimpton Shane,"Atlanta, GA","$7,500",51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings for intimate weddings.
FORTH Hotel Atlanta,Georgia,"$25,000",151-200 Guests,0,0,"A luxury venue in the Old Fourth Ward neighborhood, voted one of the best new hotels in the world."
Atlanta Botanical Garden,"Atlanta, GA",Not Available,151-200 Guests,4.7,21,"An urban oasis with lush lawns and tropical foliage, perfect for indoor/outdoor weddings."
The Westside Warehouse,"Atlanta, GA","$3,750",151-200 Guests,5,37,A converted warehouse in west-midtown with soaring ceilings and outdoor space.
Swan Coach House,"Atlanta, GA","$2,000",101-150 Guests,5,7,An elegant historic venue in the residential heart of Buckhead.
Historic DeKalb Courthouse,"Decatur, GA",$450,101-150 Guests,4.8,93,A premier wedding venue with an elegant courtroom and marble features.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA","$12,000",51-100 Guests,4.9,7,A luxurious venue combining Southern charm with prestigious neighborhood surroundings.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA","$12,500",300+ Guests,5,4,A luxurious hotel offering a down-to-earth vibe for wedding celebrations.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$225,300+ Guests,5,8,A hotel combining classic charm with modern luxury for wedding events.
42West Entertainment Group,"Atlanta, GA","$12,000",251-300 Guests,5,6,A venue offering a blend of industrial modernity and refined elegance.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",Not Available,300+ Guests,0,0,An elegant hotel combining luxury and convenience for wedding events.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA","$7,100",300+ Guests,5,2,"A hotel located in downtown Atlanta, ideal for wedding banquets and events."
